Model_ID,Case_Name,ai_facts,ai_issue,ai_decision,ai_reasons,ai_ratio,human_facts,human_issue,human_decision,human_reasons,human_ratio
FIREWORKS.Llama 3.1 405B,Calder et al. v British Columbia (Attorney General),"The plaintiffs, Calder et al., were members of the Nisga'a Nation who brought an action against the Attorney General of British Columbia, claiming that the Nisga'a had aboriginal title to certain lands in British Columbia. The plaintiffs sought a declaration that the Nisga'a had title to the lands, and that the Crown had a fiduciary duty to protect their interests.","Did the Nisga'a have aboriginal title to the lands in question, and did the Crown have a fiduciary duty to protect their interests?","The Supreme Court of Canada held that the Nisga'a did have aboriginal title to the lands in question, but that the Crown did not have a fiduciary duty to protect their interests.","The Court held that aboriginal title is a sui generis right that arises from the prior occupation of the land by indigenous peoples, and that it is not a grant from the Crown. The Court also held that the Crown has a duty to consult with indigenous peoples before taking any action that may affect their aboriginal title, but that this duty does not amount to a fiduciary duty.","The decision in Calder established the concept of aboriginal title in Canadian law, and has had significant implications for the rights of indigenous peoples in Canada. The ratio decidendi is that aboriginal title is a sui generis right that arises from the prior occupation of the land by indigenous peoples, and that the Crown has a duty to consult with indigenous peoples before taking any action that may affect their aboriginal title.","The appellants are representative of the Nishga Tribe of British Columbia.  They claim that the aboriginal title over a piece of land in British Columbia that had been present before Confederation had never been extinguished, and that the tribe therefore still had title to the land.  This claim was denied at trial and upheld at appeal.","Do the alleged aboriginal land claims exist?
If the claims exist, were they extinguished?",Appeal dismissed.,"At trial and upon initial appeal the courts decided that if there ever was aboriginal title, it was surely extinguished upon confederation.  The Supreme Court holds that aboriginal title definitely exists, however they were split over whether or not it had been extinguished.  The majority decided that it has been extinguished by virtue of the government's exercise of control over the lands, and therefore the appeal is dismissed.  However, the dissenting judges disagree and state that more must be present to prove that the lands were extinguished.  They say that the provincial government did not have any constitutional right to deal with the land of the aboriginals, and that their predecessors before confederation did not do anything that could amount to extinguishing the lands.","Recognition of aboriginal title.
Aboriginal land claims are extinguished once government exercises control over the lands."
FIREWORKS.Llama 3.1 405B,E. (Mrs.) v Eve,"The case involved a mother, Mrs. E., who sought a court order to have her mentally disabled 24-year-old daughter, Eve, sterilized without her consent. Eve had a mental disability and was deemed incapable of giving informed consent to the procedure. The mother argued that sterilization was in Eve's best interests, as she was already the mother of a child and had limited ability to care for another.",Whether the court has the authority to order the sterilization of a mentally disabled adult without their consent.,The Supreme Court of Canada held that the court did not have the authority to order the sterilization of a mentally disabled adult without their consent.,"The court found that sterilization without consent would infringe on Eve's right to liberty and security of the person under section 7 of the Canadian Charter of Rights and Freedoms. The court also held that the mother's concerns about Eve's ability to care for another child could be addressed through other means, such as providing support and resources for Eve and her child.","The court established that a mentally disabled adult's right to autonomy and self-determination must be respected, and that sterilization without consent is a violation of their human rights.","Eve was a 24 year-old mentally disabled woman living in PEI with a condition that made it very difficult for her to communicate with others.  She was sent away from her mother, who cared for her, during the week so that she could attend a special school.  Her mother was seeking the court's permission to perform a sterilization procedure (hysterectomy) on her daughter.  There was considerable evidence that the daughter would be incapable of handling the burdens of motherhood.  Eve had struck up a friendship with a boy from school, and discussed marriage, and her mother is afraid of the burden that would be placed on Eve, and ultimately upon herself to look after a child if pregnancy ensued.  Permission was denied at trial, but granted at the Court of Appeal.",Can a caregiver for someone incapable of giving informed consent make decisions about surgeries for the incapable individual?,Appeal allowed.,"La Forest, writing for a unanimous court, discusses the history of
parens patriae
jurisdiction, which states that the state is responsible for decisions concerning those that cannot give informed consent themselves. He says that the test is generally that the only procedures that will be allowed are ones that are in the ""best interests"" of the protected person. He focuses his criticism in this case on the fact that Mrs. E. is claiming that the burden on her to look after the child should be considered in making the decision. La Forest states that this should be given no consideration, as it is only the best interests of the protected person that are of concern.
He also says that arguing about the protected person's fitness as a parents involves value-loaded questions that result in a designation of disabled persons as less competent parents, even though there is significant evidence showing that they show as much fondness and concern for their children as anyone else. He also considers that the procedure of a hysterectomy is serious surgery and quite invasive, and further that Eve does not require assistance caring for her reproductive cycle, which is a concern in other cases. Perhaps most importantly, this surgery is not therapeutic.
La Forest concludes that ""the grave intrusion on a person’s rights and the certain physical damage that ensues from non-therapeutic sterilization without consent, when compared to the highly questionable advantages that can result, [show that] it can never safely be determined that such a procedure is for the benefit of the person."" The procedure should never be authorized for non-therapeutic purposes under the
parens patriae
jurisdiction.","Non-therapeutic surgeries can never be determined to be for the benefit of a person who is incapable of giving informed consent.
It is only the best interests of the disabled person concerned that are of importance; concerns of others should not be considered."
FIREWORKS.Llama 3.1 405B,British Columbia v British Columbia Government Service Employees' Union (Re Meiorin),"Teresa Meiorin was a female forest firefighter who was required by her employer to pass a series of fitness tests to continue in her position. Although she had been successfully performing her job for three years, she failed one of the tests, which required her to complete a 2.5 km run in 11 minutes. Her time was 49.4 seconds over the required time. Her employment was terminated as a result.","Whether the employer's fitness standard constituted discrimination on the basis of sex, contrary to s. 13 of the British Columbia Human Rights Code.",The Court held that the employer's fitness standard did constitute discrimination on the basis of sex.,"The Court found that the fitness standard had an adverse impact on women, who generally have lower aerobic capacity than men. The employer had not established that the standard was a bona fide occupational requirement (BFOR), as it had not been shown that the standard was necessary for the safe and efficient performance of the job.","To establish a BFOR, an employer must show that the standard is: (1) adopted for a purpose rationally connected to the performance of the job; (2) adopted in an honest and good faith belief that it is necessary to the fulfillment of that legitimate work-related purpose; and (3) reasonably necessary to the accomplishment of that legitimate work-related purpose.",,,,,
FIREWORKS.Llama 3.1 405B,British Columbia (Superintendent of Motor Vehicles) v British Columbia (Council of Human Rights) (Re Grismer Estate),Grismer had a visual impairment and was unable to meet the minimum visual acuity standard for an unrestricted driver's license in British Columbia. He applied for an unrestricted license but was denied due to his visual impairment. He then filed a complaint with the British Columbia Council of Human Rights alleging discrimination based on his disability.,Whether the Superintendent of Motor Vehicles' decision to deny Grismer an unrestricted driver's license constituted discrimination under the British Columbia Human Rights Code.,The court held that the Superintendent's decision did constitute discrimination under the Human Rights Code.,The court found that the visual acuity standard had a disproportionate impact on individuals with visual impairments and that the Superintendent had not established that the standard was a bona fide occupational requirement.,"The court applied the test for discrimination under the Human Rights Code, which requires that a complainant establish a prima facie case of discrimination and that the respondent then establish a bona fide occupational requirement to justify the discriminatory practice.","The Government of British Columbia had a policy stating that it would not issue licenses to people suffering from a condition (homonymous hemianopsia (HH)) which affected eyesight.  The claimant had this condition but had driven flawlessly at work and on public roads using ""prism glasses"".  Despite this he was refused individual assessment and was not allowed to receive a license and was therefore unable to complete his job.  The British Columbia Human Rights Tribunal allowed Grismer to be individually tested.  Grismer died shortly after this decision.  This was upheld by the British Columbia Supreme Court but overruled by the Court of Appeal.",Does an absolute prohibition on licensing people with a visual impairment without the possibility of individual assessment constitute discrimination?,"Appeal allowed, standard disallowed.","The court applies the
Meiorin
test, showing that it can be used in scenarios outside of the workplace to determine if discrimination is justified.  This case passes the first part because the purpose of the standard (reasonable safety) is rationally connected to the function (issuing drivers’ licenses).  It also passes the second step because there is no evidence that the standard (no licenses for HH sufferers) was adopted for any reasons other than road safety.  However the case fails the third step as the court finds that the standard (no licenses for HH) is not reasonably necessary for the purpose (reasonable safety).  The blanket prohibition doesn't let people even attempt to show that they can drive safely.
It is clear here that the accommodation would be to allow testing.  In order to succeed the government would have had to prove that to allow testing would result to undue hardship which they failed to do.  Although there are clearly safety and cost concerns involved with testing, the government didn't put in any effort to determine these values, nor did they even look for alternative ways of testing.  The court also says that in general, with the government, costs must be exorbitant to amount to undue hardship, as they are publicly funded and this would be seen as being in the public interest.  As the standard is not rationally necessary for the purpose of reasonable road safety, it amounts to discrimination and must be removed.","The
Meiorin
test applies to all standards that are thought to be discriminatory, even if they do not occur in a workplace; called bona fide justification tests.
The government will be held to a very high threshold when claiming that the costs of not adopting a standard amount to undue hardship as they are publicly funded and preventing discrimination is in the public interest."
FIREWORKS.Llama 3.1 405B,Machtinger v HOJ Industries Ltd.,"The plaintiff, Machtinger, was employed by HOJ Industries Ltd. under a written employment contract that included a termination clause limiting his notice entitlement to the minimum required by the Employment Standards Act (ESA). The plaintiff was terminated and brought an action for wrongful dismissal, claiming the termination clause was unenforceable because it did not comply with the ESA.",Was the termination clause in the employment contract enforceable despite failing to provide for benefits continuation during the notice period as required by the ESA?,The termination clause was unenforceable because it did not comply with the ESA.,"The court held that the termination clause was void because it did not provide for the continuation of benefits during the notice period, as required by the ESA. The court also rejected the employer's argument that the failure to include benefits continuation was a minor deviation from the ESA requirements.","A termination clause in an employment contract must comply with the minimum requirements of the ESA, including providing for benefits continuation during the notice period, in order to be enforceable.","Both appellants began working for HOJ Industries, a car dealer, in 1978, and were discharged in 1985 without cause.  At the time they were dismissed Machtinger was credit manager and rust‑proofing sales manager and Lefebvre was sales manager.  Each had entered into a contract for employment for an indefinite period which contained a clause allowing the respondent to terminate his employment without cause, in Machtinger's case without notice and in Lefebvre's case on two weeks' notice.  Under the provincial
Employment Standards Act
the appellants were entitled to a minimum notice period of four weeks.  After they were dismissed, the respondent paid each of them the equivalent of four weeks' salary.  The appellants brought action for wrongful dismissal and the trial judge found that they were entitled to reasonable notice of termination, and that the period of reasonable notice for Machtinger was 7 months and for Lefebvre, 7½ months, however this was overturned by the Court of Appeal.",What should the notice period be in order to terminate employment if notice required in employment contract violates legislated standards?,"Appeal allowed, lower court judgment restored.","McLachlin, writing a concurring judgment, examined the legal principles governing the implication of terms.  She identifies three types of implied terms:
terms implied by fact (intention required);
terms implied by law (no intention required); and
terms implied by custom and usage,
and identifies #2 as the type the courts will read into a contract.  Implication of law can be from custom, for business efficiency (what is necessary in a contract), or what is reasonable (from Denning's dissent in
Liverpool City Council v Irwin
).
She finds that the Court of Appeal erred in characterizing a term implied in law as a term implied in fact, which brought in the intentionality of the parties.  Holding that the employer had a legal obligation to provide reasonable notice and that this can only be displaced by an express contrary agreement, the court imposed a reasonable term of notification on HOJ; HOJ industries.","Terms can be implied by the court based on:
custom or usage;
if necessary for business efficacy;
legal incidents of a particular class of contract."
FIREWORKS.Llama 3.1 405B,Bell Canada v Canadian Telephone Employees Association,"Bell Canada introduced a mandatory unisex, non-contributory pension plan for its employees, which was opposed by the Canadian Telephone Employees Association (CTEA). The CTEA claimed that the introduction of the plan was a violation of the collective agreement between the parties, as it was not negotiated with the union. The plan was also claimed to be discriminatory against certain employees, particularly those nearing retirement age.",Was the introduction of the pension plan a violation of the collective agreement between Bell Canada and the CTEA?,The Supreme Court of Canada held that the introduction of the pension plan was not a violation of the collective agreement.,The Court found that the collective agreement did not explicitly or implicitly require the negotiation of pension plans with the union. The Court also held that the introduction of the plan was a legitimate exercise of management's rights under the collective agreement.,"The ratio decidendi of this case is that an employer has the right to introduce new benefits or policies, such as a pension plan, without negotiating with the union, as long as the collective agreement does not explicitly or implicitly require such negotiation.","This is an appeal of the decision in
Communications, Energy and Paperworkers Union of Canada v Bell Canada
.  On appeal Bell is arguing that the Canadian Human Rights Tribunal process is unfair because the Canadian Human Rights Commission makes regulations that the Tribunal must follow, and then appears in front of them seeking favorable decisions.  They claim that this constitutes a conflict of interest and a lack of necessary ""judicial"" independence.",Does the Canadian Human Rights Tribunal lack independence and impartiality because of the power of the Canadian Human Rights Commission to issue binding guidelines for them before they appear in front of them?,"Appeal dismissed, case to proceed to Tribunal.","The court recognizes that Bell's claims are not without merit, however after consideration they dismiss them.  The court held that Bell did not provide sufficient evidence for their claims and also because they misunderstand impartiality - it does not mean having the freedom to decide a case however one wishes to, being subject to certain binding principles is perfectly legitimate for an impartial judiciary.  Further, the Commission cannot create guidelines that favour them in the Tribunal, because to do so would be
ultra vires
their powers given in the
Canadian Human Rights Act
and the Tribunal is not bound by any such guidelines.  The powers that the Commission has to enact guidelines under
s.27(2)
and
s.27(3)
of the
Act
are constrained as all powers to create subordinate legislation are, and therefore the system is not flawed.","Having one's decisions bound by enacted guidelines does not affect impartiality.
Agencies cannot enact subordinate legislation outside of their delegated powers."
FIREWORKS.Llama 3.1 405B,Catholic Children's Aid Society of Metropolitan Toronto v CM,"The Catholic Children's Aid Society of Metropolitan Toronto (CCAS) obtained a court order for the custody of a child, CM. CM's mother was a 17-year-old ward of the CCAS when she gave birth to CM. The mother was deemed to be unable to care for CM due to her own emotional and psychological needs. The CCAS placed CM in foster care and later sought an order for Crown wardship, which would grant the CCAS the rights and responsibilities of a parent. CM's mother opposed the order, claiming that the CCAS had not adequately considered her Aboriginal heritage and the potential for CM to be placed with an Aboriginal family member or community.","Did the CCAS fulfill its statutory obligation to consider the cultural, racial, and religious heritage of CM when seeking an order for Crown wardship?",The Supreme Court of Canada held that the CCAS did not fulfill its statutory obligation to consider CM's Aboriginal heritage when seeking an order for Crown wardship.,"The Court found that the CCAS had a statutory obligation to consider the cultural, racial, and religious heritage of a child when making decisions about their care and placement. In this case, the CCAS failed to adequately consider CM's Aboriginal heritage and the potential for placement with an Aboriginal family member or community.","The decision established that child welfare agencies have a statutory obligation to consider the cultural, racial, and religious heritage of a child when making decisions about their care and placement, and that this obligation is an essential part of the best interests of the child.","The aid society took SM into protection on several occasions and supervised her mother, CM, on parenting skills. On consent, SM was made a ward of the society 1989. Throughout the wardship, the society continued to work with CM and facilitated regular visits with SM, however, bonding between mother and daughter remained minimal. In December 1989, after a second four-month wardship, the society brought a status review application seeking an order of Crown wardship without access for the purposes of adoption. CM opposed the motion and the matter was dealt with sporadically throughout 1991. In February 1992 the Ontario Provincial Court ordered that SM be returned to CM on the basis that court intervention was no longer necessary to protect the child. The judge considered CM capable of acquiring the skill to care for her daughter adequately. The society obtained a stay of the order and unsuccessfully appealed to the Ontario Court (General Division). The Court of Appeal granted a stay of the order for return pending appeal and a motion for the introduction of fresh evidence. The new evidence concerned the consistent and repeated assertions of the child that she regarded her foster family as her real family, that she did not want to see her birth mother and that attempts to implement access visits with CM had become almost impossible because of the child's negative reactions - emotional, psychological and physical.  It allowed the appeal, set aside the order for the return of the child to the mother and ordered that the child be made a Crown ward without access for the purposes of adoption. CM appealed to the Supreme Court.",Does the child need continued protection?,Appeal dismissed.,"L'Heureux-Dubé, writing for the court, reviewed the case law and determined that when a court is determining whether the wardship should be terminated or continue, the judge should not determine whether an order of wardship should have been made in the previous or earlier hearings, but instead
now
consider whether continuation of the wardship in the current proceedings is in the best interests of the child without overlooking the parents' rights.  The review hearing is not about retrying the original need for a protection order, but rather the court should determine the circumstances of the parents or parent since the last order as it relates to the situation with respect to the child's custody, including their physical, mental and emotional state since that time and also whether there is now a lifestyle, including attitudes of the parent, that warrants the child being returned to the parent or to wardship.
She lays out a two part test:
Does the child continue to need protection and require a court order for protection?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
What is in the best interests of the children?
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
Applying this to the case at bar, she finds there remains a need for continued protection; the child has exhibited strong resistance to seeing her birth mother, and her birth mother has difficulty recognizing SM's emotional and physical needs.  Between the lack of bonding with the birth mother and the bonding with the foster family, it would be in the best interests of the child to be made a ward of the respondent society, with a view to her adoption by her foster family.",Two stage test for review of a protection order.
FIREWORKS.Llama 3.1 405B,Edgeworth Construction Ltd. v N.D. Lea & Associates Ltd.,"Edgeworth Construction Ltd. was the contractor, and N.D. Lea & Associates Ltd. was the consulting engineer for a construction project. Edgeworth claimed damages for losses incurred due to delays in the project, alleging that Lea's negligence caused the delays.",Whether a duty of care exists between a contractor and a consulting engineer in a construction project.,The court held that Lea owed a duty of care to Edgeworth.,"The court found that Lea had a duty to exercise reasonable care in providing its services, and that Edgeworth's losses were reasonably foreseeable as a result of Lea's negligence.","A duty of care exists between parties where there is a sufficient relationship of proximity, and the harm suffered by the plaintiff is reasonably foreseeable as a result of the defendant's actions.","Edgeworth Construction Ltd. was engaged in the business of building roads in British Columbia.  In 1977, it bid on a contract to build a section of highway in the Revelstoke area.  Its bid was successful, and Edgeworth entered into a contract with the province for the work.  Edgeworth alleges that it lost money on the project due to errors in the specifications and construction drawings.  It commenced proceedings for negligent misrepresentation against the engineering firm which prepared those drawings, N.D. Lea & Associates Ltd. as well as the individual engineers who affixed their seals to the drawings.",Is the defendent exempt from liability due to the intervention of the Ministry and their liability clause?,Appeal allowed.,"McLachlin, writing for the majority, holds that liability for negligent misrepresentation occurs when a defendant:
makes a representation,
knows it will be relied upon, and
it is relied upon.
When Edgeworth performed the construction it was relying on N.D. Lea, not the provincial government.  Following the provisions in
London Drugs
the court finds there was no express or implied protection of the respondent in the contract.  Further, unlike in
London Drugs
the respondent could have drawn up a contract that protected it from liability.","Employees who are not ""powerless"" will not benefit from an employer's exemption."
FIREWORKS.Llama 3.1 405B,Miglin v Miglin,"The parties, Susan and Eric Miglin, entered into a cohabitation agreement in 1991, which included a provision that if they separated, Susan would receive a lump sum payment of $100,000 from Eric, and Eric would keep the matrimonial home. At the time of the agreement, Susan had a higher income than Eric, but after having children, she reduced her work hours and her income decreased. When they separated in 2003, Susan's income was significantly lower than Eric's. Susan applied to have the agreement set aside, arguing that it was unconscionable at the time of separation.","Whether the court should set aside a cohabitation agreement that was not unconscionable at the time it was entered into, but has become unconscionable due to a change in circumstances.",The court allowed the appeal and set aside the cohabitation agreement.,"The court found that the agreement was not unconscionable at the time it was entered into, but that it had become unconscionable due to the significant change in the parties' financial circumstances. The court held that the agreement did not adequately provide for Susan's needs, and that it would be unfair to uphold it.","A court may set aside a cohabitation agreement if it is found to be unconscionable, even if it was not unconscionable at the time it was entered into, if there has been a significant change in circumstances.","The parties were married for 14 years and had four children. They operated a resort lodge in Algonquin Park in the summer and lived in Toronto in the winter. Both parties worked in the business; the husband handled the finance and the wife the day-to-day operation of the lodge. When they separated in 1993, both parties were in their early 40s and all the children were under 8 years old. The wife wanted to stay home with the children given their ages. After around fifteen months of negotiation, the parties signed an agreement, wherein:
the husband kept the lodge and his start-up business;
the wife kept the matrimonial home in Toronto (worth approximately the same as the lodge at $250,000);
the husband would pay $60,000/year in child support;
a consulting agreement providing the wife with $15,000/year for five years, renewable on consent; and
a full and final release of any future spousal support claims.
After the divorce judgment was issued in 1997, the wife's childcare obligations changed and the consulting agreement was not renewed. She applied to the court for relief, including spousal support. The trial judge referred to the husband as ""manipulative"" and ""obsessive"". The application was allowed, child support was brought in line with the
Guidelines
and the wife was awarded support of $4,400/month for five years. The Court of Appeal affirmed the judgment regarding spousal support, and the husband was given leave to appeal to the Supreme Court of Canada.",When should a support agreement be upheld by the courts?,Appeal allowed; original support order stands.,"Arbour and Bastarache, writing for the majority, stress finality and certainty as key principles in support agreements, citing
s. 9 of the
Divorce Act
; these are contracts and as long as they were entered into openly, the courts should enforce them.
They state that when considering whether to uphold a support agreement, there is a two stage analysis:
The formation of the agreement
: was the agreement ""unimpeachably negotiated""?
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Agreement's correspondence to the parties' original intentions
: were the current circumstances anticipated when the agreement was drafted?
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Foreseeable circumstances include a change of job, assets going down in value, etc.
Generally, where negotiation of the agreement was correct and the agreement remains in substantial compliance with the
Act
, the court should defer to the wishes of the party and accord the agreement great weight.
Applying this to the case at bar:
Both parties had engaged the services of expert counsel and negotiations persisted over a lengthy period. Although the husband may have been the dominant party, the wife had adequate counsel; there was no hint of any vulnerabilities that might not be compensated by counsel.
The quantum of child support established in the agreement intended to provide the wife with a minimum amount of income in contemplation of her not working. While the wife argues that the business generates income, this was accounted for when the assets were valued and divided. The consulting contract reflects the parties' intention to provide the wife with a source of employment income for a limited time. The wife chose not to go back to the workforce, and had substantial assets even without support; there was no hardship or long-term disadvantage.
In the result, the original order should stand.
LeBel and Deschamps, in the dissent, stress very different concepts: interdependence and unequal bargaining power.  They propose a simpler test; is the agreement objectively unfair when considered now?
The dissenters disagree with the majority in two key areas.  One, the presence of counsel may not be enough to negate a power imbalance, and two, that very little deference should be given to agreements that deviate from the objectives in
s. 15.2(6)
of the
Act
; any fair agreement should reasonably realize the four stated objectives.","Establishes the test for enforcement of support agreements.
Miglin
applies only to final spousal support agreements.  A final agreement is one which limits the amount or duration of support or waives support entirely; it does not contemplate variation."
FIREWORKS.Llama 3.1 405B,Dobson v Dobson,"The case Dobson v Dobson [1999] 2 SCR 753 involved a mother, Cynthia Dobson, who was suing her unborn child's estate and the child herself, for injuries sustained during delivery due to the child's size and position in the womb, which caused damage to the mother's uterus and forced an emergency C-section.",The main issue was whether a child can be held liable for injuries caused to the mother during pregnancy and childbirth.,The Supreme Court of Canada ultimately ruled that a child cannot be held liable for injuries caused to the mother during pregnancy and childbirth.,"The court's decision was based on the fact that a fetus has no control over its own actions and cannot be considered a separate entity from the mother until birth. Furthermore, holding a child liable for such injuries would be contrary to public policy and the principles of tort law.","A child cannot be held liable for injuries caused to the mother during pregnancy and childbirth, as this would be contrary to public policy and the principles of tort law.","Cynthia Dobson was a pregnant woman.  While in the 27th week of pregnancy she was driving her car when her negligent actions caused a car accident.  The fetus was permanently injured, and was born prematurely that day.  Her son, Ryan Dobson, suffered physical and mental injuries, including cerebral palsy.  His grandfather launched a tort claim for damages against his mother.  Ryan was successful at the Court of Appeal, which his mother appealed.",Should a mother be liable in tort for damages to her child arising from a prenatal negligent act that allegedly injured the fetus in her womb?,Appeal allowed.,"Cory, writing for the majority, finds that the mother should not be held liable in the situation because of the policy implications.  They employ the
Kamloops
test to determine if a duty of care should be owed.  It has two parts:
Is the relationship between the two parties close enough to create a reasonable duty?
Are there any public policy implications that should negate or limit the scope of the duty?
They find that the first part is satisfied; however the public policy implications negate the duty.  They state that there are two main reasons for this: it would violate the privacy and autonomy of women, and it is impossible to judicially define a reasonable standard of conduct for pregnant women.
McLachlin, in a concurring judgment, states that another main reason why this duty cannot be imposed is that it would violate pregnant women's rights under the
Charter
– specifically liberty and equality.  They would lose their liberty, and not be treated equally with other women in society.
Major, in the dissent, states that in order for the public policy implications to negate the duty they must add new restrictions on what the woman can do.  He says that this is not the case, because she had a duty of care to everyone else on the road, and extending that to the foetus would not change the reasonable standard of her conduct.  He says that this case deals specifically with pregnant women driving automobiles, and if the creation of duty imposed a limitation on her actions that was not there previously then the outcome would be different.  He uses the example with another pregnant woman in the car – if the same outcome occurred, then there is no question that the other woman's foetus could sue her for negligence.  He agrees that the
Kamloops
test applies, but says that the policy implications here do not negate the duty.","Pregnant women do not owe a duty of care to the foetus in their womb.
The test to determine if a duty of care is owed has two parts:
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?"
