Model_ID,Case_Name,ai_facts,ai_issue,ai_decision,ai_reasons,ai_ratio,human_facts,human_issue,human_decision,human_reasons,human_ratio,facts_similarity,issue_similarity,decision_similarity,reasons_similarity,ratio_similarity
FIREWORKS.Llama 3.1 405B,Calder et al. v British Columbia (Attorney General),"The plaintiffs, Calder et al., were members of the Nisga'a Nation who brought an action against the Attorney General of British Columbia, claiming that the Nisga'a had title to their traditional lands and that such title had not been extinguished by the Crown. The plaintiffs sought a declaration that the Nisga'a had a right to occupy their lands and that the Crown's actions in issuing permits and licenses to log and mine the lands were unlawful.","Did the Nisga'a have title to their traditional lands, and if so, had such title been extinguished by the Crown?","The Supreme Court of Canada held that the Nisga'a did have title to their traditional lands, but that such title had been extinguished by the Crown prior to the issuance of permits and licenses to log and mine the lands. However, the Court also held that the Nisga'a had a right to compensation for the loss of their lands.","The Court held that the Nisga'a had title to their traditional lands based on their historical occupation and use of the lands. However, the Court also found that the Crown had extinguished the Nisga'a title through a series of legislative and administrative actions, including the establishment of the Colony of British Columbia and the issuance of permits and licenses to log and mine the lands.","The ratio decidendi of the case is that Indigenous title to traditional lands can be established through historical occupation and use, but that such title can be extinguished by the Crown through clear and plain legislative or administrative action.","The appellants are representative of the Nishga Tribe of British Columbia.  They claim that the aboriginal title over a piece of land in British Columbia that had been present before Confederation had never been extinguished, and that the tribe therefore still had title to the land.  This claim was denied at trial and upheld at appeal.","Do the alleged aboriginal land claims exist?
If the claims exist, were they extinguished?",Appeal dismissed.,"At trial and upon initial appeal the courts decided that if there ever was aboriginal title, it was surely extinguished upon confederation.  The Supreme Court holds that aboriginal title definitely exists, however they were split over whether or not it had been extinguished.  The majority decided that it has been extinguished by virtue of the government's exercise of control over the lands, and therefore the appeal is dismissed.  However, the dissenting judges disagree and state that more must be present to prove that the lands were extinguished.  They say that the provincial government did not have any constitutional right to deal with the land of the aboriginals, and that their predecessors before confederation did not do anything that could amount to extinguishing the lands.","Recognition of aboriginal title.
Aboriginal land claims are extinguished once government exercises control over the lands.",0.860629677772522,0.5002181529998779,0.19625110924243927,0.5932076573371887,0.6224950551986694
FIREWORKS.Llama 3.1 405B,E. (Mrs.) v Eve,"The case involved a mother, Mrs. E., who sought a court order to have her mentally disabled 24-year-old daughter, Eve, sterilized without her consent. Eve had a mental disability and was deemed incapable of giving informed consent to the procedure.",Whether the court had the authority to grant a parent's request to sterilize a mentally disabled adult child without their consent.,The Supreme Court of Canada ultimately ruled that the court did not have the authority to grant the request for non-therapeutic sterilization.,"The court held that the decision to sterilize an individual must be made by the individual themselves, or in the case of incapacity, by a legally appointed guardian acting in the individual's best interests. The court also emphasized the importance of protecting the rights and autonomy of individuals with disabilities.","The court established that non-therapeutic sterilization of a mentally disabled person without their consent is not in their best interests and is a violation of their rights to autonomy, dignity, and bodily integrity.","Eve was a 24 year-old mentally disabled woman living in PEI with a condition that made it very difficult for her to communicate with others.  She was sent away from her mother, who cared for her, during the week so that she could attend a special school.  Her mother was seeking the court's permission to perform a sterilization procedure (hysterectomy) on her daughter.  There was considerable evidence that the daughter would be incapable of handling the burdens of motherhood.  Eve had struck up a friendship with a boy from school, and discussed marriage, and her mother is afraid of the burden that would be placed on Eve, and ultimately upon herself to look after a child if pregnancy ensued.  Permission was denied at trial, but granted at the Court of Appeal.",Can a caregiver for someone incapable of giving informed consent make decisions about surgeries for the incapable individual?,Appeal allowed.,"La Forest, writing for a unanimous court, discusses the history of
parens patriae
jurisdiction, which states that the state is responsible for decisions concerning those that cannot give informed consent themselves. He says that the test is generally that the only procedures that will be allowed are ones that are in the ""best interests"" of the protected person. He focuses his criticism in this case on the fact that Mrs. E. is claiming that the burden on her to look after the child should be considered in making the decision. La Forest states that this should be given no consideration, as it is only the best interests of the protected person that are of concern.
He also says that arguing about the protected person's fitness as a parents involves value-loaded questions that result in a designation of disabled persons as less competent parents, even though there is significant evidence showing that they show as much fondness and concern for their children as anyone else. He also considers that the procedure of a hysterectomy is serious surgery and quite invasive, and further that Eve does not require assistance caring for her reproductive cycle, which is a concern in other cases. Perhaps most importantly, this surgery is not therapeutic.
La Forest concludes that ""the grave intrusion on a person’s rights and the certain physical damage that ensues from non-therapeutic sterilization without consent, when compared to the highly questionable advantages that can result, [show that] it can never safely be determined that such a procedure is for the benefit of the person."" The procedure should never be authorized for non-therapeutic purposes under the
parens patriae
jurisdiction.","Non-therapeutic surgeries can never be determined to be for the benefit of a person who is incapable of giving informed consent.
It is only the best interests of the disabled person concerned that are of importance; concerns of others should not be considered.",0.7697029113769531,0.5302211046218872,0.2573828101158142,0.7598111033439636,0.6311143636703491
FIREWORKS.Llama 3.1 405B,British Columbia v British Columbia Government Service Employees' Union (Re Meiorin),"Teresa Meiorin was a female forest firefighter who was required by her employer to pass a series of fitness tests to continue in her position. She was unable to complete one of the tests within the required time and her employment was terminated. Meiorin claimed that the test was discriminatory, as it did not take into account the physiological differences between men and women.",Whether the fitness test was a bona fide occupational requirement (BFOR) and therefore not discriminatory under the British Columbia Human Rights Code.,The Supreme Court of Canada held that the fitness test was not a BFOR and that Meiorin had been discriminated against on the basis of sex.,"The Court found that the employer had not established that the test was necessary for the safe and efficient performance of the job, and that the test had a disproportionate impact on women. The Court also held that the employer had a duty to accommodate Meiorin and other female employees who were unable to pass the test.","An employer must demonstrate that a discriminatory standard is a necessary requirement for the job, and that accommodation is not possible without undue hardship.",,,,,,,,,,
FIREWORKS.Llama 3.1 405B,British Columbia (Superintendent of Motor Vehicles) v British Columbia (Council of Human Rights) (Re Grismer Estate),Grismer had a visual impairment and was denied a driver's license by the Superintendent of Motor Vehicles. He filed a complaint with the Council of Human Rights alleging discrimination based on his disability.,Whether the Superintendent of Motor Vehicles' decision to deny Grismer a driver's license constituted discrimination under the Human Rights Code.,The court held that the Superintendent's decision was discriminatory and that Grismer's rights under the Human Rights Code had been infringed.,The court found that the Superintendent had not established that the visual standards for obtaining a driver's license were a bona fide occupational requirement. The court also found that the Superintendent had not provided sufficient evidence to justify the denial of Grismer's license application.,The decision established that a service provider must provide reasonable accommodation to individuals with disabilities unless it can be shown that doing so would cause undue hardship.,"The Government of British Columbia had a policy stating that it would not issue licenses to people suffering from a condition (homonymous hemianopsia (HH)) which affected eyesight.  The claimant had this condition but had driven flawlessly at work and on public roads using ""prism glasses"".  Despite this he was refused individual assessment and was not allowed to receive a license and was therefore unable to complete his job.  The British Columbia Human Rights Tribunal allowed Grismer to be individually tested.  Grismer died shortly after this decision.  This was upheld by the British Columbia Supreme Court but overruled by the Court of Appeal.",Does an absolute prohibition on licensing people with a visual impairment without the possibility of individual assessment constitute discrimination?,"Appeal allowed, standard disallowed.","The court applies the
Meiorin
test, showing that it can be used in scenarios outside of the workplace to determine if discrimination is justified.  This case passes the first part because the purpose of the standard (reasonable safety) is rationally connected to the function (issuing drivers’ licenses).  It also passes the second step because there is no evidence that the standard (no licenses for HH sufferers) was adopted for any reasons other than road safety.  However the case fails the third step as the court finds that the standard (no licenses for HH) is not reasonably necessary for the purpose (reasonable safety).  The blanket prohibition doesn't let people even attempt to show that they can drive safely.
It is clear here that the accommodation would be to allow testing.  In order to succeed the government would have had to prove that to allow testing would result to undue hardship which they failed to do.  Although there are clearly safety and cost concerns involved with testing, the government didn't put in any effort to determine these values, nor did they even look for alternative ways of testing.  The court also says that in general, with the government, costs must be exorbitant to amount to undue hardship, as they are publicly funded and this would be seen as being in the public interest.  As the standard is not rationally necessary for the purpose of reasonable road safety, it amounts to discrimination and must be removed.","The
Meiorin
test applies to all standards that are thought to be discriminatory, even if they do not occur in a workplace; called bona fide justification tests.
The government will be held to a very high threshold when claiming that the costs of not adopting a standard amount to undue hardship as they are publicly funded and preventing discrimination is in the public interest.",0.731492280960083,0.5978418588638306,0.39704716205596924,0.5598260164260864,0.330302357673645
FIREWORKS.Llama 3.1 405B,Machtinger v HOJ Industries Ltd.,"The plaintiff, Machtinger, was employed by HOJ Industries Ltd. as a sales representative from 1981 until his termination in 1985. His employment contract included a clause that limited his entitlement to notice of termination to the minimum required by the Employment Standards Act (ESA). When Machtinger was terminated, he received the minimum notice required by the ESA, but he claimed that he was entitled to reasonable notice at common law.","Was the termination clause in Machtinger's employment contract enforceable, or was he entitled to reasonable notice at common law?","The Supreme Court of Canada held that the termination clause was not enforceable, and Machtinger was entitled to reasonable notice at common law.","The court found that the termination clause was ambiguous and did not clearly exclude Machtinger's entitlement to reasonable notice at common law. The court also held that the ESA was intended to provide a minimum standard for employment contracts, and that employers could not contract out of the requirement to provide reasonable notice.","An employment contract must clearly and unambiguously exclude an employee's entitlement to reasonable notice at common law in order to be enforceable. If the contract is ambiguous, the employee will be entitled to reasonable notice at common law.","Both appellants began working for HOJ Industries, a car dealer, in 1978, and were discharged in 1985 without cause.  At the time they were dismissed Machtinger was credit manager and rust‑proofing sales manager and Lefebvre was sales manager.  Each had entered into a contract for employment for an indefinite period which contained a clause allowing the respondent to terminate his employment without cause, in Machtinger's case without notice and in Lefebvre's case on two weeks' notice.  Under the provincial
Employment Standards Act
the appellants were entitled to a minimum notice period of four weeks.  After they were dismissed, the respondent paid each of them the equivalent of four weeks' salary.  The appellants brought action for wrongful dismissal and the trial judge found that they were entitled to reasonable notice of termination, and that the period of reasonable notice for Machtinger was 7 months and for Lefebvre, 7½ months, however this was overturned by the Court of Appeal.",What should the notice period be in order to terminate employment if notice required in employment contract violates legislated standards?,"Appeal allowed, lower court judgment restored.","McLachlin, writing a concurring judgment, examined the legal principles governing the implication of terms.  She identifies three types of implied terms:
terms implied by fact (intention required);
terms implied by law (no intention required); and
terms implied by custom and usage,
and identifies #2 as the type the courts will read into a contract.  Implication of law can be from custom, for business efficiency (what is necessary in a contract), or what is reasonable (from Denning's dissent in
Liverpool City Council v Irwin
).
She finds that the Court of Appeal erred in characterizing a term implied in law as a term implied in fact, which brought in the intentionality of the parties.  Holding that the employer had a legal obligation to provide reasonable notice and that this can only be displaced by an express contrary agreement, the court imposed a reasonable term of notification on HOJ; HOJ industries.","Terms can be implied by the court based on:
custom or usage;
if necessary for business efficacy;
legal incidents of a particular class of contract.",0.7244983315467834,0.5409746170043945,0.42010796070098877,0.6488232612609863,0.44145575165748596
FIREWORKS.Llama 3.1 405B,Bell Canada v Canadian Telephone Employees Association,"Bell Canada introduced a mandatory absenteeism policy that included a new attendance management program, which the Canadian Telephone Employees Association argued was a management right that should be subject to collective bargaining.",Was the introduction of the absenteeism policy a management right that fell within the scope of collective bargaining?,"The policy was found to be a management right, but the implementation and application of the policy was subject to the provisions of the collective agreement.","The arbitrator found that while the policy itself was a management right, the impact on employees and the manner in which it was implemented were subject to the collective agreement.","The employer has the right to introduce policies, but the implementation and application of those policies must be consistent with the collective agreement.","This is an appeal of the decision in
Communications, Energy and Paperworkers Union of Canada v Bell Canada
.  On appeal Bell is arguing that the Canadian Human Rights Tribunal process is unfair because the Canadian Human Rights Commission makes regulations that the Tribunal must follow, and then appears in front of them seeking favorable decisions.  They claim that this constitutes a conflict of interest and a lack of necessary ""judicial"" independence.",Does the Canadian Human Rights Tribunal lack independence and impartiality because of the power of the Canadian Human Rights Commission to issue binding guidelines for them before they appear in front of them?,"Appeal dismissed, case to proceed to Tribunal.","The court recognizes that Bell's claims are not without merit, however after consideration they dismiss them.  The court held that Bell did not provide sufficient evidence for their claims and also because they misunderstand impartiality - it does not mean having the freedom to decide a case however one wishes to, being subject to certain binding principles is perfectly legitimate for an impartial judiciary.  Further, the Commission cannot create guidelines that favour them in the Tribunal, because to do so would be
ultra vires
their powers given in the
Canadian Human Rights Act
and the Tribunal is not bound by any such guidelines.  The powers that the Commission has to enact guidelines under
s.27(2)
and
s.27(3)
of the
Act
are constrained as all powers to create subordinate legislation are, and therefore the system is not flawed.","Having one's decisions bound by enacted guidelines does not affect impartiality.
Agencies cannot enact subordinate legislation outside of their delegated powers.",0.3991563022136688,0.2176785171031952,0.2995826303958893,0.31487059593200684,0.2926483750343323
FIREWORKS.Llama 3.1 405B,Catholic Children's Aid Society of Metropolitan Toronto v CM,"The Catholic Children's Aid Society of Metropolitan Toronto (the Society) obtained a court order for the custody of CM's newborn child on the basis that the child was in need of protection. CM was a 17-year-old minor at the time and the alleged father, AV, was 19 years old. CM and AV opposed the order and applied for a stay of the order pending appeal.",Did the Society have the authority to apprehend CM's child without her consent?,The court allowed the appeal and set aside the order granting custody of the child to the Society.,The court found that the Society had exceeded its authority in apprehending the child without CM's consent. The court also found that the Society had not provided adequate evidence to support its claim that the child was in need of protection.,"The decision established that a children's aid society does not have the authority to apprehend a child without the consent of the parent, unless there is sufficient evidence to support the claim that the child is in need of protection.","The aid society took SM into protection on several occasions and supervised her mother, CM, on parenting skills. On consent, SM was made a ward of the society 1989. Throughout the wardship, the society continued to work with CM and facilitated regular visits with SM, however, bonding between mother and daughter remained minimal. In December 1989, after a second four-month wardship, the society brought a status review application seeking an order of Crown wardship without access for the purposes of adoption. CM opposed the motion and the matter was dealt with sporadically throughout 1991. In February 1992 the Ontario Provincial Court ordered that SM be returned to CM on the basis that court intervention was no longer necessary to protect the child. The judge considered CM capable of acquiring the skill to care for her daughter adequately. The society obtained a stay of the order and unsuccessfully appealed to the Ontario Court (General Division). The Court of Appeal granted a stay of the order for return pending appeal and a motion for the introduction of fresh evidence. The new evidence concerned the consistent and repeated assertions of the child that she regarded her foster family as her real family, that she did not want to see her birth mother and that attempts to implement access visits with CM had become almost impossible because of the child's negative reactions - emotional, psychological and physical.  It allowed the appeal, set aside the order for the return of the child to the mother and ordered that the child be made a Crown ward without access for the purposes of adoption. CM appealed to the Supreme Court.",Does the child need continued protection?,Appeal dismissed.,"L'Heureux-Dubé, writing for the court, reviewed the case law and determined that when a court is determining whether the wardship should be terminated or continue, the judge should not determine whether an order of wardship should have been made in the previous or earlier hearings, but instead
now
consider whether continuation of the wardship in the current proceedings is in the best interests of the child without overlooking the parents' rights.  The review hearing is not about retrying the original need for a protection order, but rather the court should determine the circumstances of the parents or parent since the last order as it relates to the situation with respect to the child's custody, including their physical, mental and emotional state since that time and also whether there is now a lifestyle, including attitudes of the parent, that warrants the child being returned to the parent or to wardship.
She lays out a two part test:
Does the child continue to need protection and require a court order for protection?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
What is in the best interests of the children?
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
Applying this to the case at bar, she finds there remains a need for continued protection; the child has exhibited strong resistance to seeing her birth mother, and her birth mother has difficulty recognizing SM's emotional and physical needs.  Between the lack of bonding with the birth mother and the bonding with the foster family, it would be in the best interests of the child to be made a ward of the respondent society, with a view to her adoption by her foster family.",Two stage test for review of a protection order.,0.7387517690658569,0.45009851455688477,0.6042455434799194,0.6411352157592773,0.4411870837211609
FIREWORKS.Llama 3.1 405B,Edgeworth Construction Ltd. v N.D. Lea & Associates Ltd.,"Edgeworth Construction Ltd. was the contractor and N.D. Lea & Associates Ltd. was the consulting engineer for a construction project. Edgeworth Construction Ltd. claimed damages for losses incurred due to delays in the project, alleging that N.D. Lea & Associates Ltd. was responsible for the delays.",Was N.D. Lea & Associates Ltd. liable for the losses incurred by Edgeworth Construction Ltd. due to delays in the project?,The court held that N.D. Lea & Associates Ltd. was liable for the losses incurred by Edgeworth Construction Ltd.,"The court found that N.D. Lea & Associates Ltd. had breached its duty of care to Edgeworth Construction Ltd. by failing to provide adequate and timely engineering services, which caused the delays in the project.","A consulting engineer owes a duty of care to a contractor to provide adequate and timely engineering services, and a breach of this duty can result in liability for losses incurred by the contractor due to delays in the project.","Edgeworth Construction Ltd. was engaged in the business of building roads in British Columbia.  In 1977, it bid on a contract to build a section of highway in the Revelstoke area.  Its bid was successful, and Edgeworth entered into a contract with the province for the work.  Edgeworth alleges that it lost money on the project due to errors in the specifications and construction drawings.  It commenced proceedings for negligent misrepresentation against the engineering firm which prepared those drawings, N.D. Lea & Associates Ltd. as well as the individual engineers who affixed their seals to the drawings.",Is the defendent exempt from liability due to the intervention of the Ministry and their liability clause?,Appeal allowed.,"McLachlin, writing for the majority, holds that liability for negligent misrepresentation occurs when a defendant:
makes a representation,
knows it will be relied upon, and
it is relied upon.
When Edgeworth performed the construction it was relying on N.D. Lea, not the provincial government.  Following the provisions in
London Drugs
the court finds there was no express or implied protection of the respondent in the contract.  Further, unlike in
London Drugs
the respondent could have drawn up a contract that protected it from liability.","Employees who are not ""powerless"" will not benefit from an employer's exemption.",0.7595525979995728,0.45386990904808044,0.19431376457214355,0.5912865400314331,0.09573173522949219
FIREWORKS.Llama 3.1 405B,Miglin v Miglin,"The Miglins were married in 1979 and had two children. In 1994, Linda Miglin left the matrimonial home with the children and began divorce proceedings. The trial judge ordered Eric Miglin to pay $4,583 per month in child support. Eric Miglin appealed, arguing that the trial judge erred in not considering the effect of the child support award on his spousal support obligations.",Whether the court should consider the impact of a child support award on spousal support obligations.,"The Court of Appeal for Ontario upheld the trial judge's decision, and the Supreme Court of Canada dismissed Eric Miglin's appeal.",The court held that the Child Support Guidelines do not permit a court to consider the impact of a child support award on spousal support obligations. The court's primary consideration is the best interests of the children.,"The Child Support Guidelines take precedence over spousal support obligations, and the court must prioritize the best interests of the children when making a child support award.","The parties were married for 14 years and had four children. They operated a resort lodge in Algonquin Park in the summer and lived in Toronto in the winter. Both parties worked in the business; the husband handled the finance and the wife the day-to-day operation of the lodge. When they separated in 1993, both parties were in their early 40s and all the children were under 8 years old. The wife wanted to stay home with the children given their ages. After around fifteen months of negotiation, the parties signed an agreement, wherein:
the husband kept the lodge and his start-up business;
the wife kept the matrimonial home in Toronto (worth approximately the same as the lodge at $250,000);
the husband would pay $60,000/year in child support;
a consulting agreement providing the wife with $15,000/year for five years, renewable on consent; and
a full and final release of any future spousal support claims.
After the divorce judgment was issued in 1997, the wife's childcare obligations changed and the consulting agreement was not renewed. She applied to the court for relief, including spousal support. The trial judge referred to the husband as ""manipulative"" and ""obsessive"". The application was allowed, child support was brought in line with the
Guidelines
and the wife was awarded support of $4,400/month for five years. The Court of Appeal affirmed the judgment regarding spousal support, and the husband was given leave to appeal to the Supreme Court of Canada.",When should a support agreement be upheld by the courts?,Appeal allowed; original support order stands.,"Arbour and Bastarache, writing for the majority, stress finality and certainty as key principles in support agreements, citing
s. 9 of the
Divorce Act
; these are contracts and as long as they were entered into openly, the courts should enforce them.
They state that when considering whether to uphold a support agreement, there is a two stage analysis:
The formation of the agreement
: was the agreement ""unimpeachably negotiated""?
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Agreement's correspondence to the parties' original intentions
: were the current circumstances anticipated when the agreement was drafted?
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Foreseeable circumstances include a change of job, assets going down in value, etc.
Generally, where negotiation of the agreement was correct and the agreement remains in substantial compliance with the
Act
, the court should defer to the wishes of the party and accord the agreement great weight.
Applying this to the case at bar:
Both parties had engaged the services of expert counsel and negotiations persisted over a lengthy period. Although the husband may have been the dominant party, the wife had adequate counsel; there was no hint of any vulnerabilities that might not be compensated by counsel.
The quantum of child support established in the agreement intended to provide the wife with a minimum amount of income in contemplation of her not working. While the wife argues that the business generates income, this was accounted for when the assets were valued and divided. The consulting contract reflects the parties' intention to provide the wife with a source of employment income for a limited time. The wife chose not to go back to the workforce, and had substantial assets even without support; there was no hardship or long-term disadvantage.
In the result, the original order should stand.
LeBel and Deschamps, in the dissent, stress very different concepts: interdependence and unequal bargaining power.  They propose a simpler test; is the agreement objectively unfair when considered now?
The dissenters disagree with the majority in two key areas.  One, the presence of counsel may not be enough to negate a power imbalance, and two, that very little deference should be given to agreements that deviate from the objectives in
s. 15.2(6)
of the
Act
; any fair agreement should reasonably realize the four stated objectives.","Establishes the test for enforcement of support agreements.
Miglin
applies only to final spousal support agreements.  A final agreement is one which limits the amount or duration of support or waives support entirely; it does not contemplate variation.",0.5572130680084229,0.570061445236206,0.4823427200317383,0.5620609521865845,0.38276687264442444
FIREWORKS.Llama 3.1 405B,Dobson v Dobson,"The case Dobson v Dobson [1999] 2 SCR 753 involved a mother, Cynthia Dobson, who was suing her own unborn child's estate and the child's father for damages resulting from a car accident that occurred while she was pregnant. The accident caused injuries to both the mother and the unborn child, who was subsequently born with severe disabilities.",The main issue in this case was whether a mother could sue her own unborn child for damages resulting from a tort that occurred while the child was in utero.,The Supreme Court of Canada ultimately ruled that a mother cannot sue her own unborn child for damages resulting from a tort that occurred while the child was in utero.,"The court's decision was based on the reasoning that a fetus is not a separate legal entity from its mother and therefore cannot be held liable for damages. The court also considered the potential consequences of allowing such a lawsuit, including the potential for increased insurance costs and the difficulty of determining causation.",The ratio decidendi in this case is that a fetus is not a separate legal entity from its mother and therefore cannot be held liable for damages resulting from a tort that occurred while the child was in utero.,"Cynthia Dobson was a pregnant woman.  While in the 27th week of pregnancy she was driving her car when her negligent actions caused a car accident.  The fetus was permanently injured, and was born prematurely that day.  Her son, Ryan Dobson, suffered physical and mental injuries, including cerebral palsy.  His grandfather launched a tort claim for damages against his mother.  Ryan was successful at the Court of Appeal, which his mother appealed.",Should a mother be liable in tort for damages to her child arising from a prenatal negligent act that allegedly injured the fetus in her womb?,Appeal allowed.,"Cory, writing for the majority, finds that the mother should not be held liable in the situation because of the policy implications.  They employ the
Kamloops
test to determine if a duty of care should be owed.  It has two parts:
Is the relationship between the two parties close enough to create a reasonable duty?
Are there any public policy implications that should negate or limit the scope of the duty?
They find that the first part is satisfied; however the public policy implications negate the duty.  They state that there are two main reasons for this: it would violate the privacy and autonomy of women, and it is impossible to judicially define a reasonable standard of conduct for pregnant women.
McLachlin, in a concurring judgment, states that another main reason why this duty cannot be imposed is that it would violate pregnant women's rights under the
Charter
– specifically liberty and equality.  They would lose their liberty, and not be treated equally with other women in society.
Major, in the dissent, states that in order for the public policy implications to negate the duty they must add new restrictions on what the woman can do.  He says that this is not the case, because she had a duty of care to everyone else on the road, and extending that to the foetus would not change the reasonable standard of her conduct.  He says that this case deals specifically with pregnant women driving automobiles, and if the creation of duty imposed a limitation on her actions that was not there previously then the outcome would be different.  He uses the example with another pregnant woman in the car – if the same outcome occurred, then there is no question that the other woman's foetus could sue her for negligence.  He agrees that the
Kamloops
test applies, but says that the policy implications here do not negate the duty.","Pregnant women do not owe a duty of care to the foetus in their womb.
The test to determine if a duty of care is owed has two parts:
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?",0.8170980215072632,0.6816680431365967,0.1419157087802887,0.6641918420791626,0.6148470640182495
