Model_ID,Case_Name,Ai_brief,Human_brief
anthropic.claude-v2:1,Bell Canada v Canadian Telephone Employees Association," Unfortunately I do not have enough context to provide a detailed case brief for Bell Canada v Canadian Telephone Employees Association. I don't have information on the specific facts of the case, the reasoning behind the decision, or the final ruling. Without more background on the case details, I cannot summarize or analyze the case. I'm limited in my knowledge of specific legal cases and precedents. If you could provide more information about the case and what details you are looking for in a brief, I would be happy to assist further. Otherwise, I apologize that I do not have sufficient information about this particular case to provide a useful brief.","facts: This is an appeal of the decision in
Communications, Energy and Paperworkers Union of Canada v Bell Canada
.  On appeal Bell is arguing that the Canadian Human Rights Tribunal process is unfair because the Canadian Human Rights Commission makes regulations that the Tribunal must follow, and then appears in front of them seeking favorable decisions.  They claim that this constitutes a conflict of interest and a lack of necessary ""judicial"" independence. issue: Does the Canadian Human Rights Tribunal lack independence and impartiality because of the power of the Canadian Human Rights Commission to issue binding guidelines for them before they appear in front of them? decision: Appeal dismissed, case to proceed to Tribunal. reasons: The court recognizes that Bell's claims are not without merit, however after consideration they dismiss them.  The court held that Bell did not provide sufficient evidence for their claims and also because they misunderstand impartiality - it does not mean having the freedom to decide a case however one wishes to, being subject to certain binding principles is perfectly legitimate for an impartial judiciary.  Further, the Commission cannot create guidelines that favour them in the Tribunal, because to do so would be
ultra vires
their powers given in the
Canadian Human Rights Act
and the Tribunal is not bound by any such guidelines.  The powers that the Commission has to enact guidelines under
s.27(2)
and
s.27(3)
of the
Act
are constrained as all powers to create subordinate legislation are, and therefore the system is not flawed. ratio: Having one's decisions bound by enacted guidelines does not affect impartiality.
Agencies cannot enact subordinate legislation outside of their delegated powers."
anthropic.claude-v2:1,DH v HM," Unfortunately I do not have enough context to provide a full case brief for DH v HM. I do not have information about the specific facts, rationale, or final decision in this case. If you could provide some more details about the case such as the court it was decided in, the general legal issue, or a citation, I may be able to assist further. Without more context, I do not have enough information to summarize this specific case. Let me know if you can provide any additional details that would help me research and summarize this case brief.","facts: The child had spent the first year of his life with his mother, an Aboriginal.  When the boy was 1, his mother took off with him searching for her biological father and found him in Vancouver. After some issues, Children's Aid apprehended the boy and placed him with his biological grandfather, an Aboriginal.  The adoptive parents of the mother (a white couple living in Connecticut) contested custody, while the mother supported the grandfather's application.
The trial judge granted the custody application, but this was overturned by the Court of Appeal. issue: To what degree should race and culture be considered in a custody application? decision: Appeal allowed; decision of trial judge restored. reasons: No written reasons were given by the Supreme Court, simply an oral judgment restoring the order of the trial judge.  This outcome is inconsistent with previous case law, awarding custody to the adoptive grandparents despite psychological bonding with the biological grandfather (who he had spent three of his four years with) and the shared culture.
The trial court had considered:
bonding;
the child has both Aboriginal and Afro-American heritage;
the Connecticut couple might be better suited to reconnect child with Afro-American heritage.
the wishes of the mother;
the current residence of the child with the grandfather; and
the best parenting and family environment (mainly material values).
the grandfather's means were not as good as the Connecticut couple.
the Connecticut couple might be better suited to reconnect child with Afro-American heritage.
the grandfather's means were not as good as the Connecticut couple.
On balance, it appears the court gave the child to the adoptive grandparents as they could offer a more stable upbringing and more economic advantages. ratio: Race and culture are merely one consideration when determining the best interests of the child."
anthropic.claude-v2:1,Eldridge v British Columbia (Attorney General)," Unfortunately I do not have enough context to provide a full case brief for Eldridge v British Columbia (Attorney General). I do not have detailed information about the facts, reasoning, or final decision in this specific case. If you can provide some more background details or clarification on what specific information you are looking for in the case brief, I would be happy to assist further. Please let me know if you can share more details about the case and what key elements you need included in the brief. If not, I apologize that I am unable to summarize this case without more information.","facts: The appellants were Deaf persons who wished to have the use of American Sign Language (ASL) interpreters with their doctors in hospitals covered by their health insurance.  There had been a privately funded company that had supplied this in the past, but they had to discontinue service because of a lack of funding.  The appellants claim that because of the communication barrier that exists between them and their doctors, they are receiving care of a lesser quality, and that this infringes on their right to equal benefit of the law without discrimination based on physical disability under
s.15(1) of the
Charter
.  The appellants were unsuccessful at the lower courts. issue: Does the failure to provide sign language interpreters as an insured benefit under the
Medical and Health Care Services Act
violate
s.15(1) of the
Charter
?
Is it the relevant statutes themselves that are violating the
Charter
, or the actions of the hospitals that were relegated to them by the legislature?
What is the purpose of
s.15
?
What is the test to see if
s.15
""discrimination"" has occurred? decision: Appeal allowed. reasons: La Forest, writing for a unanimous court, holds that it is not the legislation itself that violates the
Charter
, as it merely says that all services must be provided equally and does not give specific examples of how the hospitals are to determine which services to provide to which patients.  Therefore, the legislation does not violate
s.15
.  However, the
Charter
definitely applies to action taken under statutory authority, which is exactly what is happening in this case.  The governing statutes give the hospitals authority to determine what benefits to provide, however these decisions must be made in ways that are consistent with the
Charter
.  There is nothing in the legislation that prevents the hospitals from providing the interpreters.
La Forest states that government should not be allowed to escape their
Charter
limitations simply through relegating authority.  Thus, if a private entity is acting under statutorily granted authority, their action will be subject to
Charter
scrutiny.  Thus, private entities acting under statutory authority will be deemed to be included in the definition of ""government"" in
s.32
.  He makes an important distinction, stating that if a private entity is entirely controlled by the government then all of its actions will be subject to
Charter
scrutiny, whereas in cases like this where only specific parts of a private entity’s actions are granted under statute, only those actions will be subject to the scrutiny.
The court states that there are two main purposes of
s.15
:
protecting human dignity, and
expressing a desire to rectify discrimination against disadvantaged groups.
This does not imply that you must be a member of a disadvantaged group to get protection under
s.15
, but that helps.
La Forest then lays out the uniform
s.15
test:
there must be a distinction between others;
the distinction has to be one that imposes burdens or withholds benefits;
one must show that this discrimination is based on an enumerated or analogous ground.
He goes on to say that there are two main ways to discriminate: assuming things about people that are stereotypical, or failing to take into account how the characteristics of a person change the way that a law affects them.  Both of these fall under the definition in
s.15
.
Applying the test to the case at bar, La Forest finds the behaviour falls under the definition of""discrimination"" and is not saved by
s.1
as this was not a minimal impairment. ratio: The
Charter
applies to actions of private entities that have been given the power to perform these actions under government (statutory) authority.
If a private entity is completely controlled by the government, then all of their actions will be ""government actions"" and are subject to the
Charter
, however, in cases like this where only some of the entity’s actions are granted under government authority, then only those actions will fall under the definition of ""government"" in
s.32
and be subject to the
Charter
.
There are two main purposes of
s.15
:
protecting human dignity; and
expressing a desire to rectify discrimination against disadvantaged groups (it is not necessary that you are a member of a disadvantaged group).
To establish ""discrimination"" as defined in
s.15
, you need to prove three things:
distinction;
an enumerated or analogous ground; and
the distinction imposes burdens or withholds benefits.
protecting human dignity; and
expressing a desire to rectify discrimination against disadvantaged groups (it is not necessary that you are a member of a disadvantaged group).
distinction;
an enumerated or analogous ground; and
the distinction imposes burdens or withholds benefits."
anthropic.claude-v2:1,Nicholson v Haldimand-Norfolk Regional Police Commissioners," Unfortunately I do not have enough context to provide a full case brief for Nicholson v Haldimand-Norfolk Regional Police Commissioners. I am not familiar with the details of this specific case. If you could provide some more background details about the case - such as the court it was heard in, the general legal issues involved, etc - that would help me research it further and potentially summarize the key facts, rationale, and decision. Without more context, I don't have enough information to summarize this case. I'm sorry, but I don't know the details of this particular case. Please let me know if you can provide any additional background details that would help me research this case further.","facts: Nicholson was a second-class constable with the respondent police commission.  He was let go during his probationary period and not given any prior notice of his termination or provided with any reasons for the decision.  There was a section in the governing
Police Act
(now replaced by the
Police Services Act
) that required the Commission to provide a hearing for dismissal where the officer was employed for more than 18 months, however Nicholson was let go prior to the end of his 18 month probation.  Nicholson argued that despite the timeframe he was still entitled to at least some procedural fairness. issue: What is the threshold for some common law procedural fairness to apply when no statutory fairness applies? decision: Appeal allowed. reasons: Chief Justice Laskin writes that although Nicholson is clearly not entitled to the same amount of procedure that an officer employed for more than 18 months is entitled to, he must still be treated fairly and not arbitrarily.  Laskin states that in the sphere of administrative law there is a ""general duty of fairness"" owed to claimants.  He says that this is grounded in the idea that differentiating between judicial and administrative decisions is very difficult and it does not make any sense to give some people full procedural protection while the others get nothing at all.  Therefore in this case he believes that the minimal required protection means that Nicholson should have at least been given reasons for his dismissal.
Martland, in the dissent, disagrees and argues that the statutory language is clear: if you are not employed for 18 months, then the Commission may terminate your employment without any reasons.  This is exactly what happened in this case, which he argues was within the legislature's intent and should not be disturbed. ratio: There is a general common law duty of fairness that always applies in administrative decisions, even where there is a procedural guarantee which does not apply in a given case."
anthropic.claude-v2:1,Authorson v Canada (Attorney General)," Unfortunately I do not have enough context to provide a detailed case brief for Authorson v Canada (Attorney General). I would need more specifics on the case details, facts, rationale, and final decision in order to summarize it accurately. Without more information to go on, I don't have sufficient knowledge about this particular case to provide an informative brief. Please provide more details about the case if you would like me to attempt summarizing it in a brief format. Otherwise, I apologize that I don't have enough information to fully respond about Authorson v Canada (Attorney General).","facts: The respondent was named representative plaintiff of a class of disabled veterans who received pensions and other benefits from the Crown under three different statutes. These funds were administered by the Department of Veterans Affairs (""DVA"") because the veterans were deemed incapable of managing their money. These funds were rarely invested or credited with interest until 1990, when the DVA began paying interest on the accounts. But Parliament chose to limit the Crown's liability for past interest by enacting s. 5.1(4) of the Department of Veterans Affairs Act which provides that no claim shall be made after the coming into force of the provision for or on account of interest on moneys held or administered by the Minister during any period prior to January 1, [page41] 1990 pursuant to any of the three relevant statutes. The class sued the Crown, alleging breach of fiduciary duty and claiming that the s. 5.1(4) bar was inoperative under the Canadian Bill of Rights, because it was inconsistent with the right not to be deprived of the enjoyment of property except by due process of law (s. 1(a)) and the right to a fair hearing in accordance with the principles of fundamental justice for the determination of one's rights and obligations (s. 2(e)).
The federal government failed to properly invest pensions of disabled war veterans. Parliament chose to limit the Crown's liability for past interest by enacting s. 5.1(4) of the
Department of Veterans Affairs Act
, which provided that no claim shall be made after the coming into force of the provision for or on account of interest on moneys held or administered by the Minister during any period prior to January 1, 1990 pursuant to any of the three relevant statutes. Authorson argued that the legislation was inoperative as it infringed the right not to be deprived of the enjoyment of property except by due process of law under
s. 1(a) of the
Canadian Bill of Rights
, as well as the right to a fair hearing in accordance with the principles of fundamental justice for the determination of one's rights and obligations under
s. 2(e)
.
The trial judge held that the Crown owed a fiduciary duty to the disabled veterans, and so was obliged to either invest the funds on their behalf, or pay interest, and that s. 5.1(4) of the
Act
was inoperative under the Bill of Rights. The Court of Appeal upheld the decision, which the Crown appealed. issue: Do the quasi-constitutional norms in the
Bill of Rights
provide for procedural fairness in a legislative context? decision: Appeal allowed. reasons: Major, writing for a unanimous court, held that the
Act
was not inconsistent with the
Bill of Rights
.  The due process protections in
s. 1(a)
do not require that the veterans receive notice and a hearing before Parliament prior to the passage of expropriative legislation. He states:
The only procedure due any citizen of Canada is that proposed legislation receive three readings in the Senate and House of Commons and that it receive Royal Assent. Once that process is completed, legislation within Parliament's competence is unassailable.
Due process protections cannot interfere with the right of the legislative branch to determine its own procedure. No adjudicative procedure is necessary for the non-discretionary application of a law to incontestable facts. Finally, while substantive rights may stem from due process, the Bill of Rights does not protect against the expropriation of property by the passage of unambiguous legislation. Parliament has the right to expropriate property, even without compensation, if it has made its intention clear and, in s. 5.1(4), Parliament's expropriative intent is clear and unambiguous. ratio: The quasi-constitutional norms in the
Bill of Rights
are of no assistance in legislative decision making; legislative decisions are exempt from the common law duty of fairness."
anthropic.claude-v2:1,Moge v Moge," Unfortunately I do not have enough context to provide a full case brief for Moge v Moge. I don't have access to the specific facts, reasoning, and decision in this case. If you could provide more details about the case background and the specific legal issues involved, I would be happy to assist in summarizing and analyzing the case. Please let me know if you can share more specifics that would help me understand this case better. If not, no problem - I simply do not have enough information about this particular case to brief it in detail. Let me know if you need any clarification or have additional details to share.","facts: A Polish couple, Andrzej and Zofia Moge, were separated in 1973 and eventually divorced. Zofia had been a house-wife for the duration of the marriage and experienced many difficulties in finding work once separated. She worked at a hotel as a maid but eventually lost her job. Andrzej paid child and spousal support at the time, but once Zofia lost her job, she applied to have an increase in spousal support. When Zofia found another job, Andrzej submitted an application to have the support cut-off. The trial judge found that the former wife had had time to become financially independent and that her husband had supported her as long as he could be required to do.  The Court of Appeal set aside the judgment and ordered spousal support in the amount of $150/month for an indefinite period, which the husband appealed. issue: Is the wife entitled to ongoing support for an indefinite period of time? decision: Appeal dismissed reasons: L'Heureux-Dubé, writing for the majority, said marriage should be thought of as a joint venture, and if economic consequences fall disproportionately on one spouse, spousal support can redress the balance.  While spouses would still have an obligation after the marriage breakdown to contribute to their own support in a manner commensurate with their abilities, the ultimate goal is to alleviate the disadvantaged spouse's economic losses as completely as possible, taking into account all the circumstances of the parties, including the advantages conferred on the other spouse during the marriage, i.e. the notion of compensatory support.
She analyzes the four objectives in
s. 17(7) of the
Divorce Act
:
Economic disadvan
Apportionment of financial consequences of care of the children
Economic hardship resulting from the breakdown of the marriage
Promotion of self-sufficiency of the parties within a reasonable timeframe following the breakdown of the marriage
Self-sufficiency is not attained simply by a finding full-time employment at minimum wage; the recipient’s employment and earnings must be at least somewhat related to the marital standard of living and that enjoyed by the payor’s spouse
Self-sufficiency is not attained simply by a finding full-time employment at minimum wage; the recipient’s employment and earnings must be at least somewhat related to the marital standard of living and that enjoyed by the payor’s spouse
and concludes that each of them is met in this case. ratio: Marriage is a joint venture.
There should be an equitable distribution of the disadvantages or other economic consequences of marriage upon marriage breakdown.
Following this case, spousal support awards generally became more common, more generous, and lasted for longer."
anthropic.claude-v2:1,Janzen v Platy Enterprises Ltd.," Unfortunately I do not have enough context to provide a full case brief for Janzen v Platy Enterprises Ltd. As I do not have access to the case details, I would not be able to summarize the key facts, rationale, and decision. If you are able to provide more background details about the case, I would be happy to assist in summarizing and briefing the key aspects. Please let me know if you can share more specifics about the case details. If not, I apologize that I am unable to brief this particular case without more information.","facts: hJanzen and Govereau both worked as waitresses at Pharos Restaurant. They were both sexually harassed by the cook, Tommy Grammas. They made it known that they thought the advances were harassing, however the harassment continued and the owners/managers made life generally hard for them at the workplace. They claim that this is discrimination on the grounds of sex and sued under the Manitoba
Human Rights Act
(now the
Human Rights Code
). The appellants were successful at the lower court, but that decision was overturned by the
Manitoba Court of Appeal
. issue: Is sexual harassment sex discrimination? decision: The courts appeal was held and was allowed. The Court of Appeal stated that harassment is not sex discrimination because the harassment of the individuals was because the two were sexually appealing, not because they were females. The court stated that sexual harassment is ""unwelcome conduct of a sexual nature that detrimentally affects the work environment or leads to adverse job-related consequences for the victims of the harassment"". reasons: The
Court of Appeal
stated that harassment is not sex discrimination because the women who were harassed were not harassed because they are women, but because they are sexually attractive. Thus, because it is not the fact that they are women that is leading to the harassment, it is not discrimination based on sex.
The Supreme Court rejects this finding.
Dickson CJ
says that sexual harassment is not about attractiveness – it is about power and its abuse. This makes the connection to gender clear – the accused used his or her power in a discriminatory way by making gender relevant when it should not be. The Court of Appeal stated that the reason why sexual harassment is not in the Manitoba Act (when it is on other legislation) is because the government didn’t want it there. Dickson rejects this as well, and states that you must make a purposive interpretation of the Act as a whole. Its purpose is to give out benefits, so it should be read broadly in order to accomplish this. The court held that sexual harassment is ""unwelcome conduct of a sexual nature that detrimentally affects the work environment or leads to adverse job-related consequences for the victims of the harassment"". ratio: Sexual harassment is sex discrimination.
Discrimination can occur against a particular subgroup – it doesn’t have to apply to all members of the group."
anthropic.claude-v2:1,Just v British Columbia," Unfortunately I do not have enough context to provide a detailed case brief for Just v British Columbia. I do not have information on the specific facts, rationale, or final decision in this case. If you could provide some more background details on what this case is about, I would be happy to assist further. Without more context, the best I can say is that I do not have sufficient information about this particular case to summarize it in a case brief format. Please let me know if you can give me some more details that would allow me to research this case and provide a helpful response.","facts: Heavy snow fall forced Just and his daughter to stop in a line of traffic by a rocky slope on a major highway.  A boulder, which worked loose from the wooded slopes above the highway, came crashing down on the appellant's car, killing the appellant's daughter and causing him very serious injuries.  Just brought an action against the provincial government contending that the government negligently failed to properly maintain the highway.
The Department of Highways had set up a system for inspection and remedial work upon rock slopes.  Inspection and recommendations were made by engineers and the work was effected by a rock scaling crew responsible for performing remedial work throughout the entire province.  The department's practice had been to make visual inspections from the highway unless rock falls or a history of instability in an area indicated a need for the rock engineer to climb the slope.  Numerous informal inspections were carried out by highway personnel as they drove along the road.
The trial judge found that the entire system of inspection and the way it was implemented was a policy matter which did not give rise to liability. No finding was made as to whether or not the system of inspection was reasonable or whether the inspections themselves were properly carried out. The Court of Appeal upheld the finding of the trial judge and Just appealled to the Supreme Court. issue: Is the government under a duty of care to maintain the highways and if so, are they liable if the highways are not sufficiently maintained? decision: Appeal allowed, new trial ordered. reasons: Cory, writing for the majority, held that the province owes a duty of care, which ordinarily extends to their reasonable maintenance, to those using its highways.  The Department of Highways could readily foresee the risk that harm might befall users of a highway if it were not reasonably maintained.  That maintenance could be found to extend to the prevention of injury from falling rock.
Government agencies may be exempt from the application of the traditional tort law duty of care if an explicit statutory exemption exists or if the decision arose as a result of a policy decision.  Whether or not a decision is characterized as a policy decision or as an operational decision rests on the nature of the decision and not on the identity of the actors.  Generally, decisions concerning budgetary allotments for departments or government agencies should be classified as policy decisions.  A policy decision may be open to challenge on the basis that it is not made in the bona fide exercise of discretion.  If after due consideration it is found that a duty of care is owed by the government agency and no exemption by way of statute or policy decision-making is found to exist, a traditional torts analysis ensues (as per
Anns v Merton London Borough Council
) and the issue of standard of care required of the government agency must next be considered.  The manner and quality of an inspection system, since it was clearly part of the operational aspect of a governmental activity, should be assessed when consideration is given to the standard of care issue.  At this stage, the requisite standard of care must be assessed in light of all the surrounding circumstances including budgetary restraints and the availability of qualified personnel and equipment.
Sopinka, in the dissent, held that the government had the power to carry out the inspections but was under no duty to do so.  Conduct within the limits of this discretion gives rise to no duty of care; conduct outside of these limits may attract a private law duty of care.
A litigant may not attack a policy and it is not appropriate for a Court to pass on it, absent evidence that a policy was adopted for some ulterior motive and not for a municipal purpose.  In order for a private duty to arise, it would have to be shown that the Rockwork Section acted outside its delegated discretion to determine whether to inspect and the manner in which the inspection is to be made.  Policy decisions are immune from review because they usually entail not only a decision to do something but also some call upon the public purse.  The government was acting within its discretion when it decided that inspections should be done and the manner in which they were to be done.  Responsibility for deciding the extent to which the inspection program was to be implemented was delegated to the Rockwork Section. ratio: The duty of care should apply to a public authority unless there is a valid basis for its exclusion.
Policy decisions – the decision by the government about what acts to perform under a given statute – are exempt from liability; operational decisions – the decision by the government about how to perform those acts once they have been decided - are not exempt from liability."
anthropic.claude-v2:1,Bruker v Markovitz," Unfortunately I do not have enough context to provide a full case brief for Bruker v Markovitz. I do not have information on the specific facts, rationale, or final decision in this case. If you could provide some more background details or context about the case, I would be happy to assist in summarizing or briefing the key details. Please let me know if you can share additional information about the case that would help me understand it better. If not, I apologize that I am unable to brief this case without more context.","facts: During their divorce, Bruker and Marcovitz negotiated a consent to corollary relief in which they agreed to obtain a Jewish divorce, or
get
, immediately upon the granting of the divorce.  Despite Bruker's repeated requests, Marcovitz consistently refused to provide a
get
for 15 years, required for her to remarry under Jewish law.  Bruker sought damages for breach of the agreement.  Marcovitz argued that his agreement to give a
get
was not valid under Quebec law and that he was protected by his right to freedom of religion from having to pay damages for its breach.  At trial the judge found that the agreement was valid and binding and that a claim for damages was within the domain of the civil courts.  The Court of Appeal allowed the appeal, stating that because the substance of the obligation was religious in nature, it was a moral obligation and was therefore unenforceable by the courts under Quebec's
Civil Code
. issue: Are moral obligations enforceable by the courts? decision: Appeal allowed. reasons: Abella, writing for the majority, held that the fact that a dispute had a religious aspect did not by itself make it non-justiciable.  Recognizing the enforceability by civil courts of agreements relating to religious divorce addressed the gender discrimination that religious barriers to remarriage represented and alleviated the effects they may have on extracting unfair concessions in a civil divorce.  Nothing in the
Civil Code
prevented someone from transforming his or her moral obligations into legally valid and binding ones.  Marcovitz's claim to religious freedom must be balanced and reconciled with countervailing rights, values, and harm, including the extent to which it was compatible with Canada's fundamental values.  Abella found that any impairment to Marcovitz's religious freedom was significantly outweighed by the harm both to the Bruker personally and to the public's interest in protecting fundamental values such as equality rights and autonomous choice in marriage and divorce. ratio: Moral obligations can be transformed into legally binding obligations if formalized."
anthropic.claude-v2:1,Dawson v Helicopter Exploration," Unfortunately I do not have enough context to provide a full case brief for Dawson v Helicopter Exploration. I am not familiar with the details of this specific case. If you could provide some more background details about the case, I would be happy to assist in summarizing and analyzing the key facts, rationale, and decision. Please let me know if you can share more specifics that would help me understand this case. If not, I apologize that I am unable to brief a case I have no information about.","facts: There were a series of letters exchanged between Dawson, who had staked a mineral claim (which had by this point lapsed), and Springer (employee of Helicopter Exploration) discussing a contract to explore a certain area of BC and decide whether or not it was worth mining there.  When they set the terms, it was agreed that Springer would notify Dawson when he had obtained a pilot for his helicopter so that Dawson could leave his post with the military and come with them to show them the area, and was entitled to a percentage of the earnings if they decided to develop the land.  When a pilot became available Springer notified Dawson, however he also stated that based off of third party advice they would probably not be exploring the area that year.  Dawson did not reply.  Without notifying Dawson, the defendants explored the region and later contracted with another party for the development of the land.  Dawson sued for breach, but was unsuccessful in the lower courts. issue: Was there a valid offer and acceptance to form a contract? decision: Appeal allowed, remitted to the British Columbia Supreme Court for the assessment of damages. reasons: In the dissent, Kerwin argues that no contract was formed.  However, the remaining justices all agree that a bilateral contract was indeed formed.  They state that the performance that was required of Springer was notifying Dawson that a pilot was ready, and taking him along on the exploration.  However, by their actions Helicopter Exploration prevented the complementary performance of the appellant that would have entitled him to his share of the earnings, and in doing so they breached the contract. ratio: Where a complementary action is contemplated for both parties, the offeror in a bilateral contract cannot terminate the contract for want of performance if he or she fails to discharge his or her complementary obligation to perform."
